time,Device,Device01,Device02,Device03,Device04,Device05,Device06,Device07,Device08,Device09,Device10,Device11,Device12,Device13,Device14,Device15,Device16,Device17,Device18,Device19,Device20
3.5817999,1.0274724e-10,20.667815,20.315711,20.165014,20.115277,20.106559,20.102128,22.421105,20.684005,20.269303,20.152283,20.111703,20.100782,23.144442,20.812359,20.282234,20.16254,20.109843,20.098858,20.095183,20.094412
3.6227219,1.0651293e-10,20.675762,20.320265,20.167505,20.117044,20.108188,20.103688,22.440338,20.69209,20.273181,20.154589,20.113411,20.102321,23.158327,20.822097,20.286201,20.164946,20.11151,20.100362,20.096631,20.095846
3.6636439,1.1042758e-10,20.683686,20.324877,20.170056,20.118869,20.109875,20.105306,22.459253,20.70015,20.277118,20.156954,20.115177,20.103918,23.17242,20.831866,20.290223,20.167411,20.113236,20.101924,20.098136,20.097339
3.7045659,1.1445994e-10,20.691553,20.329516,20.172638,20.120724,20.111592,20.106953,22.477691,20.70815,20.281085,20.159349,20.116973,20.105545,23.186268,20.841633,20.294271,20.169904,20.114991,20.103515,20.099672,20.098861
3.7413015,1.1823046e-10,20.699215,20.334056,20.175136,20.122465,20.113202,20.108481,22.49569,20.71592,20.284928,20.161614,20.118632,20.107035,23.200612,20.851125,20.298219,20.172296,20.116628,20.104981,20.101079,20.100255
3.7780371,1.2226861e-10,20.706923,20.338697,20.177734,20.124304,20.114912,20.110107,22.51366,20.723729,20.288872,20.163979,20.120389,20.108624,23.215606,20.860716,20.302265,20.174788,20.118363,20.106546,20.102585,20.101747
3.8147728,1.2637476e-10,20.714363,20.343164,20.18017,20.125982,20.116459,20.111572,22.530637,20.731268,20.292651,20.166183,20.121984,20.110051,23.2293,20.870067,20.30614,20.177115,20.119936,20.107949,20.10393,20.103078
3.8515084,1.3172227e-10,20.722752,20.34821,20.182987,20.127959,20.118269,20.113297,22.54882,20.739198,20.296832,20.168738,20.123881,20.111754,23.246095,20.880123,20.310449,20.179784,20.121793,20.109619,20.105535,20.104669
3.888244,1.3629406e-10,20.730695,20.35293,20.185497,20.12963,20.119772,20.114717,22.565285,20.746687,20.300698,20.170987,20.125471,20.113151,23.260082,20.889744,20.314437,20.182143,20.123342,20.110983,20.106835,20.105953
3.9249797,1.41628e-10,20.738954,20.357989,20.188341,20.131634,20.121606,20.116467,22.582679,20.75449,20.304904,20.173569,20.127393,20.114879,23.276615,20.899761,20.318765,20.184837,20.125224,20.112678,20.108466,20.107569
3.9617153,1.476268e-10,20.747184,20.362846,20.190901,20.133331,20.123131,20.117908,22.597598,20.761807,20.308792,20.175842,20.129005,20.116296,23.290434,20.909648,20.32281,20.187223,20.126795,20.114063,20.109786,20.108874
3.9984509,1.5373015e-10,20.755728,20.368044,20.1938,20.135364,20.12499,20.119683,22.613378,20.769443,20.313022,20.178453,20.130953,20.118049,23.3067,20.919932,20.327198,20.189947,20.128701,20.115783,20.111441,20.110513
4.0351866,1.5981227e-10,20.763763,20.372864,20.196346,20.137046,20.126497,20.121107,22.627054,20.77658,20.316891,20.180712,20.132549,20.11945,23.319273,20.929708,20.331216,20.192315,20.130256,20.117151,20.112745,20.111801
4.0719222,1.6745552e-10,20.772121,20.378007,20.199208,20.139039,20.128313,20.122839,22.641909,20.784271,20.321146,20.183297,20.134456,20.121161,23.335327,20.940122,20.335582,20.195,20.13212,20.118827,20.114356,20.113398
4.1086578,1.7447148e-10,20.780028,20.382824,20.201768,20.140731,20.129829,20.124271,22.654904,20.791523,20.325091,20.185581,20.136063,20.122571,23.348056,20.950094,20.339632,20.19738,20.133682,20.120203,20.115667,20.114693
4.1453935,1.8314297e-10,20.788112,20.387861,20.204555,20.142648,20.131568,20.125927,22.66828,20.798959,20.329264,20.188092,20.137895,20.124206,23.362101,20.960314,20.343908,20.199986,20.13547,20.121804,20.117203,20.116214
4.1821291,1.9158749e-10,20.795881,20.392678,20.207142,20.144365,20.133105,20.127381,22.680791,20.806269,20.333301,20.190419,20.139528,20.125639,23.375184,20.970328,20.347975,20.202388,20.137055,20.123201,20.118535,20.11753
4.2188647,2.0220841e-10,20.803789,20.397679,20.209924,20.146274,20.134834,20.129026,22.693563,20.813726,20.337532,20.192941,20.141353,20.127264,23.389543,20.98055,20.352236,20.204982,20.138832,20.124791,20.12006,20.119039
4.2556004,2.1342829e-10,20.811376,20.402464,20.212514,20.147992,20.136371,20.130481,22.704921,20.820876,20.341563,20.195272,20.142988,20.128698,23.401945,20.990472,20.356292,20.207383,20.140418,20.126189,20.121393,20.120357
4.292336,2.2808865e-10,20.818846,20.407251,20.215188,20.149838,20.138041,20.132077,22.715656,20.8278,20.34563,20.197735,20.14478,20.13029,23.414188,21.000114,20.360345,20.209872,20.142139,20.127735,20.122876,20.121825
4.3290716,2.4570158e-10,20.826043,20.41186,20.21771,20.151532,20.139558,20.133521,22.72515,20.834466,20.349536,20.200047,20.146421,20.131731,23.424827,21.009508,20.364234,20.212207,20.143709,20.129128,20.124208,20.123142
4.3658073,2.6801178e-10,20.833377,20.416642,20.220419,20.153413,20.14126,20.13515,22.734859,20.841278,20.353627,20.202546,20.148248,20.133357,23.436547,21.019103,20.36831,20.214728,20.145464,20.130707,20.125725,20.124643
4.4025429,2.9543535e-10,20.840294,20.421163,20.22295,20.155129,20.142794,20.13661,22.743916,20.848193,20.357661,20.204897,20.149899,20.134808,23.445906,21.028526,20.372258,20.217097,20.147053,20.132116,20.127072,20.125975
4.4392785,3.3027898e-10,20.847438,20.425927,20.225739,20.157099,20.144581,20.138325,22.75351,20.855342,20.361948,20.207504,20.151805,20.136514,23.456733,21.038246,20.376466,20.219722,20.148897,20.13378,20.128673,20.127561
